id,created_at,text
937981765569806336,2017-12-05 09:47:34,RT @_pdas0ndi: this is the high quality content i expect from edison https://t.co/v5gazptHoM
936003744478650368,2017-11-29 22:47:37,@SherwinYu99 I will cry at the end of this movie for sure
934783289768005634,2017-11-26 13:57:58,@mashable https://t.co/1G9bFjgTU5
934782683196125189,2017-11-26 13:55:33,@mashable I think you forgot to add an article to this Snap story 😶 https://t.co/cymp7t8EFH
933430296250261505,2017-11-22 20:21:39,People ask me all the time why I hype up Blockchain. The simplest answer: human rights - https://t.co/hxhfFY5TiJ
933429839222136832,2017-11-22 20:19:50,"RT @ImYourKid: If the world is gonna go to shit, lets at least have decent fucking internet as it does  https://t.co/D6iDev0htY"
933206523664146432,2017-11-22 05:32:28,RT @MKBHD: RT if this image makes you sick. This is what an internet without #NetNeutrality could look like. Can't believe this is actually…
927655028470382592,2017-11-06 21:52:48,"RT @CaseyNeistat: anyone who's ever run a marathon knows how real this is ⚡️ “An unlikely hero at the New York City marathon”

https://t.co…"
926972408493309952,2017-11-05 00:40:19,@iamlucastrevor beautiful
926404538071883776,2017-11-03 11:03:48,RT @realDonaldTrump: My Twitter account was taken down for 11 minutes by a rogue employee. I guess the word must finally be getting out-and…
926396985690566656,2017-11-03 10:33:47,*pans to man wearing a tiny kippa and a poncho crushing Doritos over a keyboard* https://t.co/bGYTDzRiJJ
926256190971027456,2017-11-03 01:14:19,RT @franklinleonard: There is only one person mentioned in GOP tax plan and it’s Steph Curry. 🤦🏾‍♂️ https://t.co/YynmtvNgyH
925182940723609600,2017-10-31 02:09:36,RT @eatjaredtweets: your toilet was the inspiration for redbone https://t.co/GipiALw9lq
925182319559786496,2017-10-31 02:07:08,RT @RogueNASA: Excuse us while we throw up. https://t.co/Weqol8l6Zj
925066436707467266,2017-10-30 18:26:40,@tkingpops it's been a rough month
924904042546868224,2017-10-30 07:41:22,RT @elonmusk: Just feed it The Godfather movies as input. What’s the worst that could happen? https://t.co/WX4Kx45csv
923412988882595840,2017-10-26 04:56:27,RT @AmyMorinLCSW: There's a big difference between being mentally strong and acting tough. #mentaltoughness #mentallystrong https://t.co/NZ…
922258509080576000,2017-10-23 00:28:57,"RT @nytimes: The Grade Schoolers Have Spoken: Out With Jefferson Davis, In With Obama https://t.co/jSpBAY8POU"
921594565785563136,2017-10-21 04:30:41,RT @AMJPublicHealth: New study: Colorado’s legalization of recreational #cannabis was associated w/reduction in opioid-related deaths https…
919810695385853952,2017-10-16 06:22:13,RT @21savage: I expect the unexpected to avoid disappointment
919564330881892352,2017-10-15 14:03:15,"RT @jeremycorbyn: Imagine an Uber run co-operatively by their drivers, collectively controlling their futures, with profits shared or re-in…"
