id,created_at,text
938166185350139904,2017-12-05 22:00:23,"RT @_ElizabethMay: Men: 🤔is hugging a woman OK?
Me: you should ask first
Men: 🤔 how will I know if a woman welcomes my touch
Me: like, ask…"
938164613761269760,2017-12-05 21:54:08,I love this child https://t.co/GndrvCfXcm
938163911932616705,2017-12-05 21:51:21,The only couple more iconic than me @chiefkiffy is @imjlor and Cheng
938153900581961728,2017-12-05 21:11:34,OMG https://t.co/mWRkHeTBH3
938089470494097411,2017-12-05 16:55:33,RT @ijeomaumebinyuo: Intergenerational trauma is not a myth.
938088958231064576,2017-12-05 16:53:31,@WomenLoveBJones  https://t.co/jDwhgrLZSP
938075710966468608,2017-12-05 16:00:52,RT @ItsMeGrizz: She is clearly trying to explain that Latinos esp Dominicans have significant African descent in their lineage even the lig…
938075283889860608,2017-12-05 15:59:10,@culturamai https://t.co/c5N0BZCwHf
937997683117105152,2017-12-05 10:50:49,https://t.co/SL9ZTLmC4K
937988785693802496,2017-12-05 10:15:28,RT @BlakeDontCrack: I can't separate my Depression/PTSD from my Blackness. My Blues is Black.
937972423441375233,2017-12-05 09:10:27,thank u I needed this https://t.co/54Ytja6D1O
937972140200009728,2017-12-05 09:09:19,"Don’t come at me on some weak shit, it’s time you stopped displaying weakness. https://t.co/ee5sgFeW9o"
937926964614127616,2017-12-05 06:09:48,"RT @Van_Gogh_Mango: It’s like, I want to have a future in the Bay Area, but the costs of living is so expensive and I just want to move som…"
937877760986333184,2017-12-05 02:54:17,RT @mynamesdiana: Princess Diana 👸 https://t.co/VaYS00omip
937876824301846528,2017-12-05 02:50:34,RT @EboneeDavis: New levels of success require new levels of surrender.
937849096253009920,2017-12-05 01:00:23,RT @1nann: White people can identify 500 breeds of dogs but will mix up 2 black coworkers.
937848782397378560,2017-12-05 00:59:08,"RT @timethyheller: When I wrote this story about my assault, I initially wasn’t going to make the abuser. But I think it’s important for yo…"
